Date,Open,High,Low,Close*,Adj. close**,Volume
22-Apr-20,19.56,23.18,16,20.46,20.46,"180,104"
15-Apr-20,30.01,30.42,17.52,19.33,19.33,"237,046"
8-Apr-20,32.41,36.43,29.4,29.6,29.6,"147,751"
1-Apr-20,22.76,35,22.76,31.87,31.87,"237,382"
25-Mar-20,27.6,28.28,21.69,22.74,22.74,"87,547"
18-Mar-20,28.66,30.93,24.51,27.15,27.15,"203,678"
11-Mar-20,37.8,39.62,28.46,28.73,28.73,"255,200"
4-Mar-20,51.73,53.03,31.25,37.22,37.22,"292,426"
26-Feb-20,55.08,55.44,50.12,51.86,51.86,"127,129"
19-Feb-20,57.7,60.02,54.61,54.95,54.95,"165,439"
12-Feb-20,54.18,57.82,54.18,57.75,57.75,"181,375"
5-Feb-20,53.88,56.56,53.11,54.01,54.01,"222,732"
29-Jan-20,59.67,60.61,53.69,53.96,53.96,"158,197"
22-Jan-20,64.54,64.59,58.5,59.51,59.51,"202,624"
15-Jan-20,64.46,66,63.55,64.59,64.59,"158,580"
8-Jan-20,68.47,71.99,63.91,64.49,64.49,"252,459"
1-Jan-20,66.47,70.72,65.73,68.27,68.27,"197,769"
