Date,Headline,Link,Rating
14/2/21,Argus: Saudi Arabia extends Covid measures by another 20 days,https://www.argusmedia.com/en/news/2186868-saudi-arabia-extends-covid-measures-by-another-20-days,2
12/2/21,Argus: UK economy shrank by record 9.9pc in 2020,https://www.argusmedia.com/en/news/2186434-uk-economy-shrank-by-record-99pc-in-2020,2
7/2/21,Argus: Bahrain implements stricter Covid-related measures,https://www.argusmedia.com/en/news/2184701-bahrain-implements-stricter-covidrelated-measures,2
20/1/21,Reuters: Saudi crude exports scale seven-month peak in November 2020,https://finance.yahoo.com/news/saudi-crude-exports-scale-seven-144331924.html,7
20/1/21,S&amp;P Global Platts: Rising Saudi crude exports leaves domestic stocks at 17-year low,https://www.spglobal.com/platts/en/market-insights/latest-news/oil/012021-rising-saudi-crude-exports-leaves-domestic-stocks-at-17-year-low,5
20/1/21,UrduPoint: Russia Holds Position As World's Second-Largest Crude Oil Producer In November - JODI,https://www.urdupoint.com/en/business/russia-holds-position-as-worlds-second-large-1146560.html,5
10/1/21,Argus: Saudi Arabia to lift all travel curbs from 31 March,https://www.argusmedia.com/en/news/2175597-saudi-arabia-to-lift-all-travel-curbs-from-31-march,6
7/1/21,Bloomberg: The Real Price of Saudi Arabia’s Surprise Oil Cuts,https://www.bloomberg.com/opinion/articles/2021-01-07/opec-the-real-price-of-saudi-arabia-s-oil-cuts,7
4/1/21,Argus: UK tightens Covid restrictions in England again,https://www.argusmedia.com/en/news/2173896-uk-tightens-covid-restrictions-in-england-again,2
28/12/20,Argus: Saudi Arabia to keep borders closed for one more week,https://www.argusmedia.com/en/news/2172499-saudi-arabia-to-keep-borders-closed-for-one-more-week,3
18/12/20,Business Post Nigeria: Global Oil Sector Needs Sustainable $12.6trn Investment—OPEC,https://businesspost.ng/economy/global-oil-sector-needs-sustainable-12-6trn-investment-opec/,7
17/12/20,Mubasher: Saudi oil exports hit five-month high in October,https://english.mubasher.info/news/3735086/Saudi-oil-exports-hit-five-month-high-in-October/,7
24/11/20,Argus: UK to relax quarantine rules with new testing system,https://www.argusmedia.com/en/news/2162738-uk-to-relax-quarantine-rules-with-new-testing-system,5
